date,hour,depth,value,variable,method
2019-10-11T15:00:00Z,15,0.05,1,temperature,thermistor
2019-10-11T15:00:00Z,15,0.3,1,temperature,thermistor
2019-10-11T15:00:00Z,15,0.55,1,temperature,thermistor
2019-10-11T15:00:00Z,15,0.8,1,temperature,thermistor
2019-10-11T15:00:00Z,15,1.05,1,temperature,thermistor
2020-10-22T04:30:00Z,4,0.8,1,temperature,thermistor
2020-10-22T05:00:00Z,5,0.3,1,temperature,thermistor
2020-10-22T13:00:00Z,13,0.05,1,temperature,thermistor
2020-10-22T13:00:00Z,13,0.8,1,temperature,thermistor
2020-10-23T02:30:00Z,2,0.55,1,temperature,thermistor
2020-10-23T02:30:00Z,2,0.8,1,temperature,thermistor
2020-10-23T02:30:00Z,2,1.05,1,temperature,thermistor
2014-05-13T12:00:00Z,12,0.5,7.6,temperature,profile
2014-05-13T12:00:00Z,12,1,7.5,temperature,profile
2014-05-13T12:00:00Z,12,1.5,7.5,temperature,profile
2014-05-13T12:00:00Z,12,2,7.5,temperature,profile
2014-05-13T12:00:00Z,12,2.5,7.5,temperature,profile
2014-05-13T12:00:00Z,12,3,7.5,temperature,profile
2014-05-15T12:00:00Z,12,0.5,8.6,temperature,profile
2014-05-15T12:00:00Z,12,1,8.4,temperature,profile
2014-05-15T12:00:00Z,12,1.5,8.2,temperature,profile
2014-05-15T12:00:00Z,12,2,8.2,temperature,profile
2014-05-15T12:00:00Z,12,2.5,8.1,temperature,profile
2014-05-15T12:00:00Z,12,3,7.9,temperature,profile
2014-06-17T12:00:00Z,12,0.5,17.6,temperature,profile
2014-06-17T12:00:00Z,12,1,17.5,temperature,profile
2014-06-17T12:00:00Z,12,1.5,17.5,temperature,profile
2014-06-17T12:00:00Z,12,2,17.5,temperature,profile
2014-06-17T12:00:00Z,12,2.5,17.5,temperature,profile
2014-06-17T12:00:00Z,12,3,17.3,temperature,profile
2014-07-08T12:00:00Z,12,0.5,21.5,temperature,profile
2014-07-08T12:00:00Z,12,1,21.4,temperature,profile
2014-07-08T12:00:00Z,12,1.5,21.4,temperature,profile
2014-07-08T12:00:00Z,12,2,21.3,temperature,profile
2014-07-08T12:00:00Z,12,2.5,21.3,temperature,profile
2014-07-08T12:00:00Z,12,3,21.1,temperature,profile
2014-07-15T12:00:00Z,12,0.5,19.5,temperature,profile
2014-07-15T12:00:00Z,12,1,19.4,temperature,profile
2014-07-15T12:00:00Z,12,1.5,19.4,temperature,profile
