time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2021-02-01 00:00,-1.3114,0,274.8,90.32,0,0,0
2021-02-01 01:00,-0.2612,0,276.15,90.52,0,0,0
2021-02-01 02:00,-1.6881,4.68,275.3,90.38,0,0,0
2021-02-01 03:00,-0.0439,46.78,278.05,90.665,0,0,0
2021-02-01 04:00,0.2026,105.995,281.95,90.8,0,0,0
2021-02-01 05:00,1.2983,157.42,286.05,91.345,0,0,0
2021-02-01 06:00,0.7933,200.86,289.25,91.63,0,0,0
2021-02-01 07:00,1.3636,217.01,292.15,92,5.2783,0,0
2021-02-01 08:00,2.3824,219.465,297.35,92.8,4.6297,0,0
2021-02-01 09:00,2.8401,187.67,300.2,93.835,5.9381,0,0
2021-02-01 10:00,1.4391,97.165,300.05,94.36,7.5149,0,0
2021-02-01 11:00,0.5899,27.895,300.7,95.07,7.9175,0,0
2021-02-01 12:00,0.1747,1.75,301.1,95.245,8.9799,0,0
2021-02-01 13:00,0.7075,0,300.65,95.2,9.4384,0,0
2021-02-01 14:00,0.6504,0,297.85,94.575,8.5885,0,0
2021-02-01 15:00,0.158,0,293,93.715,14.8174,0,0
2021-02-01 16:00,-1.3792,0,288.55,92.93,14.8733,0,0
2021-02-01 17:00,-5.8281,0,286.8,92.68,30.9208,0,0
2021-02-01 18:00,0.1945,0,284.85,92.335,0,0,0
2021-02-01 19:00,1.4083,0,284.35,92.195,0,0,0
2021-02-01 20:00,2.4322,0,284.8,92.31,0,0,0
2021-02-01 21:00,2.0474,0,286.45,92.58,0,0,0
2021-02-01 22:00,0.3215,0,286.85,92.615,7.09,0,0
2021-02-01 23:00,1.7719,0,287.2,92.61,0,0,0
2021-02-02 00:00,0.6797,0,285.9,92.355,0,0,0
2021-02-02 01:00,-1.3651,0,284.05,91.95,13.084,0,0
2021-02-02 02:00,-2.5011,4.305,281.95,91.655,16.5507,0,0
2021-02-02 03:00,-0.6364,35.23,282.35,91.795,8.253,0,0
2021-02-02 04:00,-13.5048,110.185,283.05,91.6,58.4196,0,0
2021-02-02 05:00,-2.9701,166.32,285.7,91.97,20.1628,0,0
2021-02-02 06:00,2.6793,168.78,288.9,92.83,0,0,0
2021-02-02 07:00,1.2197,208.75,293,93.64,9.6509,0,0
2021-02-02 08:00,1.6382,204.015,295.1,94.06,6.296,0,0
2021-02-02 09:00,1.6175,131.07,295.1,94.23,9.7515,0,0
2021-02-02 10:00,0.8027,81.375,296.65,94.585,14.5043,0,0
2021-02-02 11:00,-3.1479,25.795,296.2,94.625,23.965,0,0
2021-02-02 12:00,1.0201,0.89,295.55,94.58,10.21,0,0
2021-02-02 13:00,3.4936,0,293.6,94.185,0,0,0
2021-02-02 14:00,-4.5974,0,292.7,94.035,33.6047,0,0
2021-02-02 15:00,-4.3015,0.04,293,94.115,28.3823,0,0
2021-02-02 16:00,0.4295,0,293.65,94.34,13.2853,0,0
2021-02-02 17:00,-1.1407,0,294.2,94.485,17.7138,0,0
2021-02-02 18:00,3.5204,0,293.35,94.475,0,0,0
2021-02-02 19:00,-3.3031,0,292.4,94.365,27.1633,0,0
2021-02-02 20:00,0.7019,0,292.85,94.305,11.1606,0,0
2021-02-02 21:00,2.0708,0,292.95,94.245,8.8904,0,0
2021-02-02 22:00,3.07,0,292.95,94.18,3.7798,0,0
2021-02-02 23:00,4.0414,0,292.05,94.045,0,0,0
2021-02-03 00:00,4.2271,0,290.2,93.915,0,0,0
2021-02-03 01:00,3.865,0,290.15,93.73,0,0,0
2021-02-03 02:00,4.3655,4.965,290.95,93.8,0,0,0
2021-02-03 03:00,6.6131,43.185,292.9,93.955,0,0,0
2021-02-03 04:00,5.6268,97.35,294.65,94.115,0,0,0
2021-02-03 05:00,5.1768,136.59,297.05,94.48,0,0,0
2021-02-03 06:00,8.1785,159.475,301.5,95.01,0,0,0
2021-02-03 07:00,7.0888,148.575,303.35,95.42,0,0,0
2021-02-03 08:00,6.5417,147.01,303.85,95.6,0,0,0
2021-02-03 09:00,6.3416,94.05,305.25,96.04,0,0,0
2021-02-03 10:00,5.6785,44.06,297.05,94.99,0,0,0
2021-02-03 11:00,4.9717,24.16,289.7,94.08,0,0,0
2021-02-03 12:00,2.5326,6.464,290.499,94.7551,0,0,0
2021-02-03 13:00,6.0813,32.4357,292.0532,75.0513,0,0,0
2021-02-03 14:00,7.6109,53.1233,269.0377,76.8091,0,0,0
2021-02-03 15:00,7.744,50.7816,287.7254,79.5998,0,0,0
2021-02-03 16:00,9.6746,64.1794,279.2351,77.2762,0,0,0
2021-02-03 17:00,9.0413,69.775,296.5572,79.7274,0,0,0
2021-02-03 18:00,2.5113,71.3732,277.972,76.987,0,0,0
2021-02-03 19:00,6.4249,105.2839,266.7107,76.0343,0,0,0
2021-02-03 20:00,5.1538,20.28,267.6223,78.7281,0,0,0
2021-02-03 21:00,9.9321,61.9051,278.3222,78.6483,0,0,0
2021-02-03 22:00,5.8177,75.011,285.5563,75.1916,0,0,0
2021-02-03 23:00,6.6479,18.8886,281.2245,74.646,0,0,0
2021-02-04 00:00,5.1602,0,275.9959,76.0285,0,0,0
2021-02-04 01:00,7.3013,78.4772,274.9609,73.8352,0,0,0
2021-02-04 02:00,5.9771,114.412,282.9493,76.0165,0,0,0
2021-02-04 03:00,5.0735,57.3664,264.8088,78.6392,0,0,0
2021-02-04 04:00,5.4671,155.0708,170.016,72.5316,0,0,0
2021-02-04 05:00,-16.1213,159.515,168.75,73.64,13.0505,0,0
2021-02-04 06:00,-16.09,332.63,175.75,72.72,26.2463,0,0
2021-02-04 07:00,-15.4609,460.795,201.4,73.085,26.347,0,0
2021-02-04 08:00,-15.3745,445.7,202,74.825,25.6984,0,0
2021-02-04 09:00,-15.4834,367.865,190.45,72.74,26.3582,0,0
2021-02-04 10:00,-15.4114,227.745,197.9,75.965,27.0403,0,0
2021-02-04 11:00,-15.7993,74.635,177.25,74,27.387,0,0
2021-02-04 12:00,-16.4446,1.15,168.3,74.485,22.5224,0,0
2021-02-04 13:00,-16.9106,0,163.05,76.47,20.1852,0,0
2021-02-04 14:00,-16.8402,0,184.85,75.895,23.842,0,0
2021-02-04 15:00,-17.1666,0,183.35,76.93,25.7319,0,0
2021-02-04 16:00,-17.9448,0,179.35,77.055,24.636,0,0
2021-02-04 17:00,-18.0479,0,189.75,78.16,23.8755,0,0
2021-02-04 18:00,-18.1757,0,173.75,77.7,22.5448,0,0
2021-02-04 19:00,-18.8357,0,158.9,78.48,20.5319,0,0
2021-02-04 20:00,-19.296,0,156.45,78.935,19.8161,0,0
2021-02-04 21:00,-19.5592,0,156.65,79.1,22.1534,0,0
2021-02-04 22:00,-19.7951,0,161.25,78.98,23.3611,0,0
2021-02-04 23:00,-19.989,0,163.5,78.845,23.6295,0,0
2021-02-05 00:00,-20.3812,0,156.35,78.58,23.2829,0,0
2021-02-05 01:00,-20.538,0,154.15,78.385,21.6501,0,0
2021-02-05 02:00,-20.3745,8.165,161.5,78.05,18.5525,0,0
2021-02-05 03:00,-19.5376,82.65,202.65,77.475,17.9933,0,0
2021-02-05 04:00,-17.8308,171.22,208,77.615,18.0045,0,0
2021-02-05 05:00,-16.6137,281.875,197.65,76.495,20.2299,0,0
2021-02-05 06:00,-15.8148,326.795,220.65,73.725,24.4235,0,0
2021-02-05 07:00,-15.467,338.53,215.25,73.38,22.6678,0,0
2021-02-05 08:00,-15.4262,458.13,188.15,72.72,23.0033,0,0
2021-02-05 09:00,-15.941,375.65,169,68.685,23.6407,0,0
2021-02-05 10:00,-16.5034,240.135,198.85,70.61,22.8691,0,0
2021-02-05 11:00,-17.641,78.205,154.2,73.49,18.7202,0,0
2021-02-05 12:00,-18.453,1.44,146.65,71.365,13.1847,0,0
2021-02-05 13:00,-19.4535,0,144.7,72.9,8.924,0,0
2021-02-05 14:00,-20.5328,0,142.9,75.715,7.5037,0,0
2021-02-05 15:00,-20.7304,0,141,76.505,11.8315,0,0
